,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,3450,0,8,5,172,13,6,9,0,0,1,2,0,0,1,1
2,0,9,535,0,19,0,0,1,0,0,1,0,3,0,0,0,0
3,0,1,0,546,0,0,16,0,0,0,1,0,0,0,0,0,0
4,0,0,92,2,414,0,1,9,0,1,0,2,0,0,0,0,0
5,0,40,0,0,0,551,0,5,0,0,0,1,0,0,0,0,1
6,0,29,0,49,0,2,414,0,1,1,0,0,0,0,0,0,0
7,0,7,1,1,2,9,5,518,0,0,4,17,0,0,0,0,0
8,0,8,0,0,0,0,0,0,565,10,0,0,16,4,0,0,0
9,0,2,0,0,0,0,0,0,134,366,9,0,14,6,2,0,0
10,0,0,0,0,0,0,0,0,6,95,398,4,16,0,2,0,2
11,0,1,0,0,0,0,0,0,1,0,5,469,13,0,0,0,0
12,0,0,0,0,0,0,0,0,2,0,4,9,512,1,0,0,0
13,0,0,0,0,0,0,0,0,0,0,0,0,38,554,0,5,4
14,0,2,0,0,0,3,0,0,0,0,0,0,33,3,458,32,0
15,0,12,0,0,0,1,0,0,0,0,0,1,26,30,3,492,0
16,0,2,0,0,0,0,0,0,0,0,0,0,15,0,0,0,492
